Local time,Open,High,Low,Close,Volume
31.12.2019 19:00:00.000 GMT+0100,1.08536,1.08584,1.08514,1.08566,1591.24
31.12.2019 20:00:00.000 GMT+0100,1.08566,1.08566,1.08500,1.08536,1041.74
31.12.2019 21:00:00.000 GMT+0100,1.08535,1.08571,1.08534,1.08557,1118.53
31.12.2019 22:00:00.000 GMT+0100,1.08556,1.08561,1.08489,1.08528,1501.3101
31.12.2019 23:00:00.000 GMT+0100,1.08528,1.08528,1.08528,1.08528,3.75
01.01.2020 23:00:00.000 GMT+0100,1.08423,1.08529,1.08320,1.08419,403.41
02.01.2020 00:00:00.000 GMT+0100,1.08446,1.08578,1.08404,1.08570,1536.97
02.01.2020 01:00:00.000 GMT+0100,1.08569,1.08638,1.08565,1.08623,1780.16
02.01.2020 02:00:00.000 GMT+0100,1.08623,1.08647,1.08585,1.08611,1876.4399
02.01.2020 03:00:00.000 GMT+0100,1.08612,1.08654,1.08607,1.08626,1163.35
02.01.2020 04:00:00.000 GMT+0100,1.08626,1.08659,1.08621,1.08632,1775.96
02.01.2020 05:00:00.000 GMT+0100,1.08632,1.08667,1.08591,1.08637,1583.15
02.01.2020 06:00:00.000 GMT+0100,1.08637,1.08712,1.08637,1.08698,2629.46
02.01.2020 07:00:00.000 GMT+0100,1.08700,1.08777,1.08690,1.08731,1813.77
02.01.2020 08:00:00.000 GMT+0100,1.08731,1.08762,1.08696,1.08730,3760.9399
02.01.2020 09:00:00.000 GMT+0100,1.08730,1.08763,1.08629,1.08629,5855.1001
02.01.2020 10:00:00.000 GMT+0100,1.08629,1.08663,1.08506,1.08617,5051.9902
02.01.2020 11:00:00.000 GMT+0100,1.08618,1.08628,1.08498,1.08608,5071.6099
02.01.2020 12:00:00.000 GMT+0100,1.08608,1.08654,1.08575,1.08595,5977.7202
02.01.2020 13:00:00.000 GMT+0100,1.08595,1.08698,1.08568,1.08689,5009.5601
02.01.2020 14:00:00.000 GMT+0100,1.08688,1.08689,1.08601,1.08636,6327.8398
02.01.2020 15:00:00.000 GMT+0100,1.08634,1.08635,1.08463,1.08526,23247.8594
02.01.2020 16:00:00.000 GMT+0100,1.08528,1.08554,1.08364,1.08545,38663.6211
02.01.2020 17:00:00.000 GMT+0100,1.08545,1.08625,1.08526,1.08553,7430.3198
02.01.2020 18:00:00.000 GMT+0100,1.08553,1.08674,1.08547,1.08660,5898.1602
02.01.2020 19:00:00.000 GMT+0100,1.08658,1.08659,1.08590,1.08604,3618.8899
02.01.2020 20:00:00.000 GMT+0100,1.08604,1.08630,1.08573,1.08573,3379.9099
02.01.2020 21:00:00.000 GMT+0100,1.08573,1.08593,1.08461,1.08499,3480.52
02.01.2020 22:00:00.000 GMT+0100,1.08498,1.08525,1.08478,1.08501,1786.76
02.01.2020 23:00:00.000 GMT+0100,1.08472,1.08529,1.08455,1.08499,842.02
03.01.2020 00:00:00.000 GMT+0100,1.08498,1.08549,1.08482,1.08519,1329.4
03.01.2020 01:00:00.000 GMT+0100,1.08517,1.08546,1.08505,1.08524,1268.9399
03.01.2020 02:00:00.000 GMT+0100,1.08525,1.08546,1.08396,1.08403,2664.3501
03.01.2020 03:00:00.000 GMT+0100,1.08403,1.08427,1.08275,1.08300,5197.5498
03.01.2020 04:00:00.000 GMT+0100,1.08300,1.08350,1.08282,1.08337,2713.6799
03.01.2020 05:00:00.000 GMT+0100,1.08337,1.08380,1.08326,1.08357,1455.41
03.01.2020 06:00:00.000 GMT+0100,1.08359,1.08440,1.08325,1.08392,2726.8501
03.01.2020 07:00:00.000 GMT+0100,1.08392,1.08422,1.08354,1.08410,2510.3301
03.01.2020 08:00:00.000 GMT+0100,1.08412,1.08422,1.08236,1.08291,8778.9697
